=== IDF-CONDITIONED NORMALIZATION SWEEP ===
idfcond a=0.40 g=0.15 k1=1.2 => 0.392504
idfcond a=0.40 g=0.15 k1=1.5 => 0.395379
idfcond a=0.40 g=0.15 k1=1.8 => 0.394554
idfcond a=0.40 g=0.20 k1=1.2 => 0.394013
idfcond a=0.40 g=0.20 k1=1.5 => 0.397565
idfcond a=0.40 g=0.20 k1=1.8 => 0.396610
idfcond a=0.40 g=0.30 k1=1.2 => 0.396671
idfcond a=0.40 g=0.30 k1=1.5 => 0.400427
idfcond a=0.40 g=0.30 k1=1.8 => 0.398565
idfcond a=0.40 g=0.40 k1=1.2 => 0.398878
idfcond a=0.40 g=0.40 k1=1.5 => 0.401989
idfcond a=0.40 g=0.40 k1=1.8 => 0.400921
idfcond a=0.40 g=0.50 k1=1.2 => 0.401628
idfcond a=0.40 g=0.50 k1=1.5 => 0.403879
idfcond a=0.40 g=0.50 k1=1.8 => 0.403126
idfcond a=0.50 g=0.15 k1=1.2 => 0.399895
idfcond a=0.50 g=0.15 k1=1.5 => 0.401969
idfcond a=0.50 g=0.15 k1=1.8 => 0.400761
idfcond a=0.50 g=0.20 k1=1.2 => 0.400242
idfcond a=0.50 g=0.20 k1=1.5 => 0.403051
idfcond a=0.50 g=0.20 k1=1.8 => 0.402051
idfcond a=0.50 g=0.30 k1=1.2 => 0.403490
idfcond a=0.50 g=0.30 k1=1.5 => 0.405609
idfcond a=0.50 g=0.30 k1=1.8 => 0.404708
idfcond a=0.50 g=0.40 k1=1.2 => 0.405790
idfcond a=0.50 g=0.40 k1=1.5 => 0.408109
idfcond a=0.50 g=0.40 k1=1.8 => 0.406917
idfcond a=0.50 g=0.50 k1=1.2 => 0.407328
idfcond a=0.50 g=0.50 k1=1.5 => 0.409736
idfcond a=0.50 g=0.50 k1=1.8 => 0.408270
idfcond a=0.60 g=0.15 k1=1.2 => 0.405744
idfcond a=0.60 g=0.15 k1=1.5 => 0.408028
idfcond a=0.60 g=0.15 k1=1.8 => 0.408001
idfcond a=0.60 g=0.20 k1=1.2 => 0.406860
idfcond a=0.60 g=0.20 k1=1.5 => 0.409179
idfcond a=0.60 g=0.20 k1=1.8 => 0.408444
idfcond a=0.60 g=0.30 k1=1.2 => 0.408533
idfcond a=0.60 g=0.30 k1=1.5 => 0.410936
idfcond a=0.60 g=0.30 k1=1.8 => 0.409748
idfcond a=0.60 g=0.40 k1=1.2 => 0.409347
idfcond a=0.60 g=0.40 k1=1.5 => 0.412492
idfcond a=0.60 g=0.40 k1=1.8 => 0.410991
idfcond a=0.60 g=0.50 k1=1.2 => 0.410168
idfcond a=0.60 g=0.50 k1=1.5 => 0.413085
idfcond a=0.60 g=0.50 k1=1.8 => 0.411732
idfcond a=0.70 g=0.15 k1=1.2 => 0.409623
idfcond a=0.70 g=0.15 k1=1.5 => 0.411955
idfcond a=0.70 g=0.15 k1=1.8 => 0.411063
idfcond a=0.70 g=0.20 k1=1.2 => 0.410246
idfcond a=0.70 g=0.20 k1=1.5 => 0.411937
idfcond a=0.70 g=0.20 k1=1.8 => 0.410958
idfcond a=0.70 g=0.30 k1=1.2 => 0.411122
idfcond a=0.70 g=0.30 k1=1.5 => 0.412707
idfcond a=0.70 g=0.30 k1=1.8 => 0.411898
idfcond a=0.70 g=0.40 k1=1.2 => 0.411814
idfcond a=0.70 g=0.40 k1=1.5 => 0.412927
idfcond a=0.70 g=0.40 k1=1.8 => 0.411315
idfcond a=0.70 g=0.50 k1=1.2 => 0.412963
idfcond a=0.70 g=0.50 k1=1.5 => 0.412763
idfcond a=0.70 g=0.50 k1=1.8 => 0.411791

=== HINGED+IDF SWEEP ===
hingedidf a=0.50 g=0.15 k1=1.2 => 0.407122
hingedidf a=0.50 g=0.15 k1=1.5 => 0.409579
hingedidf a=0.50 g=0.15 k1=1.8 => 0.409566
hingedidf a=0.50 g=0.20 k1=1.2 => 0.407378
hingedidf a=0.50 g=0.20 k1=1.5 => 0.410042
hingedidf a=0.50 g=0.20 k1=1.8 => 0.409773
hingedidf a=0.50 g=0.30 k1=1.2 => 0.409229
hingedidf a=0.50 g=0.30 k1=1.5 => 0.410856
hingedidf a=0.50 g=0.30 k1=1.8 => 0.410033
hingedidf a=0.60 g=0.15 k1=1.2 => 0.410537
hingedidf a=0.60 g=0.15 k1=1.5 => 0.411576
hingedidf a=0.60 g=0.15 k1=1.8 => 0.410813
hingedidf a=0.60 g=0.20 k1=1.2 => 0.410557
hingedidf a=0.60 g=0.20 k1=1.5 => 0.411783
hingedidf a=0.60 g=0.20 k1=1.8 => 0.410582
hingedidf a=0.60 g=0.30 k1=1.2 => 0.411214
hingedidf a=0.60 g=0.30 k1=1.5 => 0.412262
hingedidf a=0.60 g=0.30 k1=1.8 => 0.411335
hingedidf a=0.70 g=0.15 k1=1.2 => 0.411935
hingedidf a=0.70 g=0.15 k1=1.5 => 0.412044
hingedidf a=0.70 g=0.15 k1=1.8 => 0.411514
hingedidf a=0.70 g=0.20 k1=1.2 => 0.412393
hingedidf a=0.70 g=0.20 k1=1.5 => 0.412003
hingedidf a=0.70 g=0.20 k1=1.8 => 0.411202
hingedidf a=0.70 g=0.30 k1=1.2 => 0.412014
hingedidf a=0.70 g=0.30 k1=1.5 => 0.412421
hingedidf a=0.70 g=0.30 k1=1.8 => 0.411279
