hypothesis,k1,norm,alpha,extra,ndcg10
bm25_default,1.2,linear,b=0.75,,0.403495
bm25_tuned,1.2,linear,b=0.90,,0.408073
bm25_tuned,1.2,linear,b=1.00,,0.408275
power,1.8,power,a=0.20,,0.362593
power,1.8,power,a=0.25,,0.367222
power,1.8,power,a=0.30,,0.371543
power,1.8,power,a=0.35,,0.377088
power,1.8,power,a=0.40,,0.382299
power,1.8,power,a=0.45,,0.387366
power,1.8,power,a=0.50,,0.391781
power,1.8,power,a=0.55,,0.395004
power,1.8,power,a=0.60,,0.398856
power,1.8,power,a=0.65,,0.400839
power,1.8,power,a=0.70,,0.405096
power,1.8,power,a=0.75,,0.406888
power,1.8,power,a=0.80,,0.408463
power,1.8,power,a=0.90,,0.409114
power,1.8,power,a=1.00,,0.405600
power_k1,1.0,power,a=0.30,,0.372899
power_k1,1.2,power,a=0.30,,0.373501
power_k1,1.4,power,a=0.30,,0.373024
power_k1,1.6,power,a=0.30,,0.372657
power_k1,1.8,power,a=0.30,,0.371543
power_k1,2.0,power,a=0.30,,0.370746
power_k1,1.0,power,a=0.40,,0.380573
power_k1,1.2,power,a=0.40,,0.381643
power_k1,1.4,power,a=0.40,,0.382568
power_k1,1.6,power,a=0.40,,0.382474
power_k1,1.8,power,a=0.40,,0.382299
power_k1,2.0,power,a=0.40,,0.381630
power_k1,1.0,power,a=0.50,,0.388222
power_k1,1.2,power,a=0.50,,0.389735
power_k1,1.4,power,a=0.50,,0.391446
power_k1,1.6,power,a=0.50,,0.391779
power_k1,1.8,power,a=0.50,,0.391781
power_k1,2.0,power,a=0.50,,0.392012
power_k1,1.0,power,a=0.60,,0.394000
power_k1,1.2,power,a=0.60,,0.395549
power_k1,1.4,power,a=0.60,,0.396832
power_k1,1.6,power,a=0.60,,0.397525
power_k1,1.8,power,a=0.60,,0.398856
power_k1,2.0,power,a=0.60,,0.398252
power_k1,1.0,power,a=0.70,,0.399120
power_k1,1.2,power,a=0.70,,0.401596
power_k1,1.4,power,a=0.70,,0.404737
power_k1,1.6,power,a=0.70,,0.404074
power_k1,1.8,power,a=0.70,,0.405096
power_k1,2.0,power,a=0.70,,0.403704
log,1.0,log,,,0.397928
log,1.2,log,,,0.401274
log,1.4,log,,,0.403794
log,1.6,log,,,0.403791
log,1.8,log,,,0.404673
log,2.0,log,,,0.403736
sigmoid,1.0,sigmoid,,,0.380503
sigmoid,1.2,sigmoid,,,0.381507
